id_detector,timestamp,value,mode,day_type
63626,600,1209.275,all,weekend
63626,615,1209.275,all,weekend
63626,630,1209.275,all,weekend
63626,645,1209.275,all,weekend
63626,660,1231.775,all,weekend
63626,675,1231.775,all,weekend
63626,690,1231.775,all,weekend
63626,705,1231.775,all,weekend
63626,720,1222.05,all,weekend
63626,735,1222.05,all,weekend
63626,750,1222.05,all,weekend
63626,765,1222.05,all,weekend
63626,780,1185.65,all,weekend
63626,795,1185.65,all,weekend
63626,810,1185.65,all,weekend
63626,825,1185.65,all,weekend
63626,840,1099.3,all,weekend
63626,855,1099.3,all,weekend
63626,870,1099.3,all,weekend
63626,885,1099.3,all,weekend
63626,900,1155.65,all,weekend
63626,915,1155.65,all,weekend
63626,930,1155.65,all,weekend
63626,945,1155.65,all,weekend
63626,960,1219.575,all,weekend
63626,975,1219.575,all,weekend
63626,990,1219.575,all,weekend
63626,1005,1219.575,all,weekend
63626,1020,1205.525,all,weekend
63626,1035,1205.525,all,weekend
63626,1050,1205.525,all,weekend
63626,1065,1205.525,all,weekend
63626,1080,1182.925,all,weekend
63626,1095,1182.925,all,weekend
63626,1110,1182.925,all,weekend
63626,1125,1182.925,all,weekend
63626,1140,1201.825,all,weekend
63626,1155,1201.825,all,weekend
63626,1170,1201.825,all,weekend
63626,1185,1201.825,all,weekend
63626,1200,986.025,all,weekend
63626,1215,986.025,all,weekend
63626,1230,986.025,all,weekend
63626,1245,986.025,all,weekend
63626,1260,605.325,all,weekend
63626,1275,605.325,all,weekend
63626,1290,605.325,all,weekend
63626,1305,605.325,all,weekend
63626,1320,586.975,all,weekend
63626,1335,586.975,all,weekend
63626,1350,586.975,all,weekend
63626,1365,586.975,all,weekend
63626,1380,651.1666667,all,weekend
63626,1395,651.1666667,all,weekend
63626,1410,651.1666667,all,weekend
63626,1425,651.1666667,all,weekend
